mpid,PF_n,PF_p,S_n,S_p,formula,m_n,m_p
mp-6388,0.835,0.169,-427.0,635.0,Ca4SmB3O10,0.672,4.93
mp-585241,0.123,0.104,-749.0,722.0,LiBi2(PO4)3,23.0,18.8
mp-24207,0.623,0.0937,-608.0,807.0,H6CN4O,2.33,11.7
mp-572833,0.768,0.446,-545.0,590.0,Cs3Sm(PS4)2,3.96,49.8
mp-707839,0.554,0.0213,-626.0,790.0,SiH14(O2F3)2,3.01,204.0
mp-560054,1.2,0.2,-457.0,754.0,LuSBr,1.88,3.72
mp-567196,0.977,0.895,-609.0,512.0,Cs3Sb2Cl9,1.11,1.22
mp-767462,0.841,0.0212,-429.0,778.0,Na2YPCO7,0.627,142.0
mp-558198,0.865,0.123,-423.0,708.0,Na2Cd(SO4)2,0.599,5.05
mp-755313,0.773,0.291,-744.0,845.0,Sc2O3,2.35,5.77
mp-557993,1.03,0.268,-524.0,757.0,BiO2,0.934,3.81
mp-29337,1.46,0.778,-438.0,520.0,Tl3BS3,0.541,1.1
mp-556340,0.82,0.767,-513.0,621.0,CaTaNO2,0.911,17.0
mp-585305,0.125,0.181,-726.0,790.0,Li9Bi3P8O29,15.1,23.6
mp-30292,0.963,0.819,-557.0,619.0,Nd4Se3N2,1.52,1.19
mp-24640,0.727,0.108,-462.0,662.0,ErH3(SO4)3,0.914,61.2
mp-669496,0.338,0.719,-716.0,596.0,PtI4,4.88,2.54
mp-27577,1.75,0.72,-435.0,519.0,Cd2As3I,0.452,0.86
mp-19420,0.868,0.503,-649.0,746.0,Sr2MgWO6,1.5,2.76
mp-761665,0.253,0.222,-137.0,-0.631,Li2CoP2O7,131.0,128.0
mp-32538,0.226,0.303,-691.0,696.0,La2W2O9,9.76,20.5
mp-767538,0.00426,0.00493,-883.0,801.0,NaCePCO7,35800.0,520.0
mp-556464,0.9,0.263,-407.0,568.0,SiO2,0.523,1.99
mp-673845,1.88,0.139,-643.0,780.0,NbO2F,0.668,14.2
mp-756202,0.608,0.559,-505.0,556.0,Ba2SrI6,1.26,2.33
mp-761435,0.156,0.0111,-677.0,241.0,LiCrPO4,23.5,385.0
mp-780178,0.00544,0.198,-383.0,657.0,Li8TiMn3(PO4)6,193.0,2.69
mp-753979,0.875,0.727,-561.0,526.0,Sn2P2O7,1.07,1.71
mp-9007,0.614,0.444,-684.0,702.0,Na6P4W,2.59,2.99
mp-762787,0.0372,0.0329,-862.0,813.0,Li2VF7,62.5,155.0
mp-771407,0.0503,0.139,-766.0,707.0,Li3Fe(BO3)2,52.3,14.5
mp-28044,1.15,0.342,-721.0,776.0,TmCl3,1.3,4.31
mp-383,1.11,0.365,-301.0,471.0,Rb2Te,0.232,1.11
mp-29473,0.744,0.0809,-451.0,724.0,LiIO4,0.779,10.9
mp-31086,1.28,1.46,-523.0,524.0,NaP5,0.747,0.588
mp-569085,0.995,0.025,-355.0,795.0,Li6Br3N,0.358,14.4
mp-24871,0.284,0.102,-740.0,843.0,K3Co(NO2)6,5.43,15.1
mp-14232,0.874,0.259,-418.0,698.0,LiBO2,0.571,1.92
mp-684006,1.16,0.319,-265.0,-284.0,Ag3TeIO4,0.17,0.622
mp-766785,1.15,1.13,-166.0,-164.0,Li4Si2NiO7,0.516,0.519
mp-30284,1.21,0.274,-279.0,565.0,HgAsO3,0.199,1.53
mp-773040,0.248,0.106,-544.0,648.0,As5Pb3S10,4.16,51.1
mp-154,0.502,0.0948,-708.0,888.0,N2,2.82,14.9
mp-674159,1.38,1.43,-614.0,618.0,Rb2CrCl4,2.7,14.1
mp-23541,1.41,0.259,-474.0,709.0,KSn2Br5,42.8,2.54
mp-24523,0.709,0.0041,-488.0,845.0,CsAlH24(SeO10)2,0.945,163.0
mp-756587,0.409,0.429,-766.0,779.0,TiO2,4.05,4.6
mp-772416,0.0149,0.822,-786.0,597.0,Li2Ti3Sn(PO4)6,128.0,5.05
mp-667426,0.756,0.104,-518.0,675.0,Bi2Te2O7,5.06,14.8
mp-23404,0.597,0.518,-642.0,653.0,TlBrO4,2.29,3.68
mp-3719,0.456,0.242,-605.0,647.0,Rb3NbS4,2.33,4.87
mp-510421,0.225,0.433,-793.0,790.0,CrO3,16.2,12.9
mp-24279,0.173,0.0628,-657.0,793.0,AlH36C12S6(IO2)3,7.1,20.5
mp-556826,0.468,0.101,-511.0,692.0,Ca(BO2)2,1.71,12.7
mp-626563,0.497,0.00103,-566.0,724.0,Ca(H8O5)2,2.38,11700.0
mp-765320,2.12,2.08,-97.4,-98.0,Li2Fe(CO3)2,0.251,0.25
mp-24273,0.709,0.0359,-467.0,754.0,CdH20C4S4(NO6)2,0.904,96.3
mp-574822,0.221,0.219,-742.0,694.0,NaC4N3,11.7,10.1
mp-3370,1.02,0.197,-354.0,696.0,Y2Sn2O7,0.348,1.8
mp-28481,0.00328,0.0398,-743.0,790.0,Ti(ClO4)4,1050.0,51.8
mp-557935,0.00888,0.0368,-709.0,680.0,Dy2Cu(BO2)8,446.0,95.1
mp-646297,0.868,0.00114,-411.0,890.0,Hg4Pb2N6O19,0.548,418.0
mp-30005,0.958,0.00714,-365.0,787.0,Rb6Br4O,0.393,103.0
mp-740714,0.843,0.0336,-439.0,796.0,LiB5H2O9,0.65,47.4
mp-5029,0.215,0.175,-493.0,380.0,Ho2Cu2O5,3.62,4.57
mp-764382,0.5619999999999999,0.00188,-359.0,641.0,Li6Mn11(OF12)2,0.651,304.0
mp-757115,1.1,0.181,-360.0,578.0,KSb5O13,0.332,2.15
mp-570796,0.352,0.0908,-561.0,670.0,SbCl5,2.57,12.5
mp-770754,0.408,0.0813,-749.0,797.0,Ho(ClO4)3,3.95,19.6
mp-757905,0.914,0.912,111.0,116.0,Li3Ti(PO4)2,0.392,0.386
mp-601210,0.38,0.276,-635.0,740.0,H5C2NO4,13.3,27.4
mp-765525,0.0434,1.04,-818.0,749.0,Li2VOF5,1450.0,51.4
mp-622195,0.881,0.0106,-420.0,825.0,CsSO3F,0.564,129.0
mp-6127,0.0398,0.0312,-712.0,716.0,BaSi4CuO10,152.0,111.0
mp-28695,0.725,0.3,-489.0,682.0,KSiH3,0.947,4.94
mp-16253,0.945,0.483,-298.0,256.0,BaCaSi,0.348,0.801
mp-614572,1.57,0.859,-421.0,453.0,Ca3InP3,1.16,0.863
mp-530303,1.1,0.0552,-325.0,756.0,Mg(GaO2)2,0.272,403.0
mp-560334,0.971,0.0896,-409.0,673.0,NaAlSiO4,0.486,7.31
mp-504948,0.815,0.189,-422.0,677.0,LiScGeO4,0.621,6.76
mp-2131,0.755,0.172,-501.0,732.0,SrN6,1.48,76.5
mp-9765,0.837,0.5,-567.0,709.0,Nd2Pt2O7,1.08,1.81
mp-761616,0.39,0.182,-617.0,695.0,LiMnPO5,4.29,8.8
mp-753173,0.644,2.05,-710.0,673.0,HoIO,2.23,2.35
mp-27200,0.125,0.306,-754.0,636.0,B13H19,20.9,38.7
mp-23372,1.15,0.0775,-393.0,811.0,Sn2Bi2O7,0.379,5.61
mp-705495,0.837,0.0486,-421.0,755.0,CaB3H5O8,0.596,29.9
mp-763331,0.637,0.0821,-362.0,689.0,LiMn2F5,0.583,46.8
mp-557483,0.922,0.0776,-416.0,826.0,YbClF,0.583,6.27
mp-7480,1.53,0.411,-538.0,759.0,RbLuO2,0.542,2.19
mp-778385,0.457,0.0505,-566.0,706.0,B3H3SeO9,2.02,18.0
mp-558118,0.824,0.0574,-441.0,855.0,BeF2,0.667,11.2
mp-6245,0.159,0.168,-671.0,681.0,K5Nb4O12F,1440.0,186.0
mp-768166,0.399,0.0783,-744.0,801.0,Dy(ClO4)3,3.98,20.2
mp-27573,0.38,0.279,-806.0,758.0,NaSb3F10,17.0,6.73
mp-721017,0.168,0.078,-702.0,701.0,Na2Te(H5O4)2,8.75,19.0
mp-756131,0.858,0.424,-482.0,540.0,Sr2CaI6,0.943,1.54
mp-560365,0.427,0.327,-694.0,643.0,Rb2Zr(IO3)6,3.27,4.52
mp-7610,0.906,0.132,-402.0,685.0,Li2CaSiO4,0.503,3.45
mp-675701,1.26,0.615,-440.0,524.0,Ca(HoSe2)2,1.24,1.07
mp-17400,0.845,0.322,-529.0,679.0,Ba2TaN3,0.971,3.4
mp-850974,0.734,0.0339,-514.0,727.0,Na7Cr2O6,2.23,34.8
mp-559336,0.677,0.199,-621.0,645.0,NaNb3(TeO4)4,365.0,17.0
mp-675801,0.438,0.405,-760.0,756.0,KNbCl6,3.76,4.14
mp-558114,0.679,0.0501,-602.0,721.0,Sr4NbAlO8,579.0,60.9
mp-669328,0.204,0.032,-650.0,704.0,ReTe3Br5,24.1,126.0
mp-4979,1.12,0.178,-299.0,570.0,AlCuS2,0.226,1.51
mp-769647,0.401,0.253,-816.0,817.0,VOF,5.74,21.7
mp-771591,0.577,0.0502,-467.0,719.0,Mn(IO3)2,1.56,15.8
mp-12829,0.807,0.0213,-438.0,897.0,LiCaGaF6,0.67,31.9
mp-669564,0.667,1.07,-589.0,509.0,CsRe6S8Br3,4.39,7.67
mp-706579,0.642,0.117,-554.0,765.0,KH3(SeO3)2,1.47,15.2
mp-694979,0.00195,0.179,-863.0,722.0,Na2TiFe(PO4)3,1330.0,12.2
mp-752725,0.727,0.141,-471.0,768.0,LiAgF2,0.867,6.43
mp-779864,0.79,0.291,-450.0,662.0,Hf2N2O,0.726,3.05
mp-10694,0.857,0.373,-752.0,824.0,ScF3,1.86,4.28
mp-766714,0.00179,0.131,-774.0,632.0,Li3Fe(Si2O5)3,1940.0,19.0
mp-757800,0.757,0.0483,-463.0,647.0,LiCuCO3,0.8,12.9
mp-866943,0.853,0.117,-508.0,685.0,Ca2SnS4,0.885,6.24
mp-27161,0.935,0.0507,-374.0,702.0,ZnI2,0.424,7.94
mp-8891,0.618,0.399,-518.0,607.0,K2Zr(BO3)2,1.41,18.1
mp-7631,1.74,0.72,-559.0,594.0,SiC,0.848,1.22
mp-540813,0.123,0.0579,-764.0,767.0,K3ReC4(N2O)2,18.4,92.9
mp-546707,0.863,0.0347,-419.0,911.0,Na4CO4,0.574,91.7
mp-626528,0.965,0.11,-636.0,767.0,NbHO3,1.75,47.0
mp-554083,0.923,0.028,-393.0,766.0,BaZnAs2O7,0.475,17.8
mp-555074,1.31,0.225,-416.0,697.0,Hg3AsS4Br,0.71,8.4
mp-4584,1.02,0.278,-392.0,618.0,Tl3BO3,0.44,1.64
mp-759498,0.548,0.365,-680.0,711.0,LiSbP2O7,5.68,15.5
mp-13610,0.803,0.2,-440.0,774.0,ZnPbF6,0.685,2.82
mp-675192,0.104,0.721,-892.0,735.0,Ce3Dy2O9,3180.0,3.11
mp-18244,0.724,0.0196,-294.0,696.0,K6MnS4,0.337,15.0
mp-6569,0.0217,0.124,-787.0,765.0,K3HgN5O11,148.0,26.2
mp-558847,0.0835,0.285,-722.0,712.0,AlSBr3N,42.0,9.8
mp-776452,0.631,0.959,-580.0,651.0,Ca2Ti6N2O11,12.7,23.7
mp-10086,1.05,0.644,-393.0,567.0,YSF,0.541,4.02
mp-554886,0.136,0.359,-741.0,683.0,Ba3Nb2(P2O9)2,146.0,5.7
mp-28474,0.0935,0.0571,-697.0,754.0,S7(N3O4)2,16.3,5870.0
mp-560721,0.93,0.0527,-404.0,784.0,NaCaBeSi2O6F,0.495,23.5
mp-29787,0.257,0.204,-680.0,720.0,Ba5Pt2O9,5.25,12.1
mp-17944,0.854,0.0073,-426.0,875.0,NaCaAlF6,0.6,112.0
mp-545598,0.134,0.508,-787.0,723.0,UCdO4,23.4,5.31
mp-761609,0.0951,0.0563,-681.0,774.0,Li2MnV(PO4)2,18.5,207.0
mp-2895,0.943,0.146,-367.0,621.0,Mg2SiO4,0.403,3.41
mp-764239,0.0597,0.0662,201.0,240.0,Li2VCr(P2O7)2,3.97,3.75
mp-772181,0.978,0.0312,-389.0,776.0,Cs3GaO3,0.436,13.7
mp-541040,0.892,0.0807,-407.0,803.0,Y2Be2GeO7,0.537,6.02
mp-779456,0.662,0.252,-503.0,681.0,Y2ReO5,1.31,3.08
mp-18634,0.772,0.0569,-451.0,769.0,CdSO3,0.743,18.2
mp-566586,0.472,0.358,-585.0,617.0,Pr2Te4MoO14,3.83,8.97
mp-554147,0.0688,0.365,-633.0,563.0,Rb2Nb2P2S11,189.0,2410.0
mp-9915,1.27,1.11,-390.0,568.0,LiBeP,0.699,0.529
mp-4200,0.426,0.7,-820.0,668.0,ScPO4,9.0,3.95
mp-626538,0.893,0.108,-636.0,748.0,NbHO3,1.38,17.1
mp-768482,0.743,0.223,-449.0,618.0,Bi2(SO4)3,0.768,2.78
mp-639787,0.178,0.0677,-757.0,807.0,K3VO4,9.09,23.9
mp-680384,1.1,0.0126,-383.0,667.0,Sr10Ga6O19,0.376,102.0
mp-757850,1.55,0.738,-601.0,595.0,K4Sb2O5,53.4,44.2
mp-706629,0.853,0.00832,-425.0,796.0,NaB2H5O6,0.598,81.6
mp-9984,1.56,1.02,-539.0,727.0,SnS2,0.884,5.46
mp-27758,0.803,0.542,-495.0,556.0,AlTl2F5,0.907,2.24
mp-23771,0.6869999999999999,0.438,-597.0,795.0,SmH3(CO2)3,1.49,29.0
mp-6960,1.37,0.697,-472.0,503.0,Rb2SiAs2,0.543,1.57
mp-554791,0.328,0.0931,-719.0,800.0,RuO4,4.45,15.7
mp-851118,0.915,0.108,-429.0,700.0,KNa2LiZr2(Si2O5)6,0.567,7.13
mp-849359,0.451,0.225,-670.0,781.0,Na2NiO3,3.65,6.91
mp-864993,0.641,0.522,-196.0,44.8,DyB4Mo,0.222,0.268
mp-765147,0.0319,0.09,-661.0,622.0,Cr2H21I7(N2O)3,47.6,2090.0
mp-556198,0.894,0.00368,-400.0,845.0,Na2Si3O7,0.505,199.0
mp-865972,1.08,0.903,-427.0,470.0,KTm2Cu3Se5,0.72,1.4
mp-9127,0.951,0.0843,-388.0,810.0,Ba(SbO3)2,0.465,5.22
mp-571056,0.511,0.283,-603.0,678.0,CsSn,2.0,3.62
mp-752434,0.314,0.0751,-504.0,746.0,Gd3YO6,2.34,10.0
mp-768385,0.325,0.0135,-643.0,752.0,Ba2YBr7,36.7,105.0
mp-779545,0.822,0.0965,-492.0,850.0,Na3CuO2,1.1,11.4
mp-761916,1.27,0.167,-565.0,685.0,NaH4Au(Br2O)2,15.9,42.0
mp-542459,0.949,0.00865,-364.0,797.0,BaGa2(GeO4)2,0.395,68.9
mp-777595,0.216,0.216,-795.0,721.0,LiFeF4,171.0,203.0
mp-779046,0.838,0.0179,-420.0,821.0,Li5Cu(PO4)2,0.593,329.0
mp-754736,0.981,0.794,-448.0,607.0,BaSr3I8,0.588,0.743
mp-555359,0.683,0.258,-354.0,661.0,KMnF3,0.516,1.37
mp-772273,0.0328,0.313,-730.0,651.0,Li2MnH4(SO5)2,253.0,239.0
mp-555231,0.131,0.0691,-696.0,765.0,Ba3Bi2(PO4)4,36.5,57.9
mp-760684,0.905,0.0843,-409.0,704.0,LiTeHO4,0.571,11.0
mp-34022,1.04,0.106,-341.0,805.0,Mg2SnO4,0.315,62.8
mp-707976,0.821,0.0312,-440.0,797.0,KH2SeNO3,0.668,22.1
mp-558980,0.928,0.579,-515.0,576.0,Er3SiCuS7,0.808,1.82
mp-554481,0.959,0.0173,-394.0,752.0,Ba2Sb4P2O17,0.468,35.0
mp-19469,0.234,0.0754,-665.0,759.0,TbNa5(MoO4)4,5.94,16.8
mp-540731,0.856,0.0234,-420.0,737.0,MgB4(H9O8)2,0.582,186.0
mp-555467,0.717,0.0745,-443.0,696.0,Sr2AlCO3F5,0.819,215.0
mp-721471,0.0999,0.0905,-138.0,245.0,CuPH4O5F,228.0,191.0
mp-556406,0.0295,0.0807,-775.0,747.0,AsS2NF10,112.0,21.9
mp-766942,0.138,0.194,-723.0,710.0,Li2MnF5,10.9,12.0
mp-740930,0.0561,0.124,-724.0,645.0,LaP3(HO)6,28.4,20.5
mp-28084,1.21,0.43,-524.0,719.0,Rb2PdBr6,0.642,1.8
mp-773176,0.741,0.118,-481.0,685.0,Li2CrAsCO7,3.01,43.1
mp-15788,1.56,0.854,-528.0,579.0,LiYS2,0.508,1.57
mp-557302,0.3,0.13,-683.0,744.0,S2NO,17.0,24.6
mp-667369,0.129,0.454,-695.0,590.0,Ca2Zr5Ti2O16,16.0,4.79
mp-767473,0.14,0.364,-734.0,689.0,Li2FeP2HO8,13.8,6.36
mp-768736,0.864,0.131,-589.0,778.0,LiBiB2O5,2.32,9.8
mp-556325,0.135,0.175,-771.0,676.0,TeAs(ClF2)3,13.9,34.6
mp-6115,0.851,0.0173,-386.0,786.0,K2Zn2(SO4)3,0.494,24.4
mp-674352,1.06,0.293,-283.0,517.0,TaAg7S6,0.215,2.28
mp-865120,0.35,1.28,-624.0,607.0,NaPaO3,3.14,0.856
mp-4823,2.06,0.599,-440.0,748.0,Na2PdC2,0.308,6.05
mp-561974,0.379,0.5,-701.0,735.0,Zr7(NO2)4,4.57,6.21
mp-10419,0.13,0.436,-784.0,714.0,Na4ReN3,14.4,39.2
mp-626735,0.879,0.0412,-409.0,821.0,BaH4O3,0.538,18.6
mp-763235,0.00877,0.0574,-647.0,618.0,LiMnPO4F,604.0,954.0
mp-6955,1.03,0.0786,-363.0,669.0,KGeNO,0.386,5.25
mp-1167,0.797,0.015,-448.0,922.0,CF4,0.711,51.0
mp-867891,0.822,0.15,-527.0,738.0,ErCl3,2.16,5.53
mp-28022,0.85,0.1,-416.0,750.0,Na6CdCl8,0.573,4.87
mp-18483,0.948,0.0562,-380.0,687.0,Rb6Si2O7,0.429,11.9
mp-6706,0.192,0.594,-720.0,629.0,TiTlPO5,8.73,2.9
mp-31256,0.108,1.49,-790.0,517.0,U(SbO3)2,115.0,1.36
mp-768243,0.44,0.409,-700.0,779.0,Tm2TiO5,126.0,4.3
mp-774266,0.0771,0.502,-717.0,643.0,Na2LiMnPCO7,413.0,155.0
mp-554711,0.124,0.0156,-750.0,788.0,CSCl2,13.4,105.0
mp-6524,0.617,0.0211,-607.0,788.0,CaMg3(CO3)4,1.74,149.0
mp-27212,0.127,0.0353,-685.0,814.0,Sb2IF15,19.9,743.0
mp-30010,0.134,0.0427,-706.0,789.0,AsKrF7,16.1,419.0
mp-7444,1.08,0.483,-404.0,543.0,RbSb,0.649,2.59
mp-1270,0.924,0.519,-380.0,500.0,Dy2S3,0.453,1.09
mp-29882,0.202,0.111,-737.0,739.0,CsPdCl3,57.3,28.7
mp-560839,0.317,0.711,-653.0,547.0,C4SeO2,6.59,1.8
mp-625868,0.0981,0.00627,-739.0,750.0,H7NO6,90.8,4550.0
mp-30206,0.837,0.0167,-421.0,861.0,CsClO4,0.598,35.0
mp-551758,0.777,0.142,-450.0,820.0,AgClO4,0.735,4.01
mp-686583,0.0295,0.299,-701.0,656.0,Na5Zr4Si3(PO8)3,47.9,12.5
mp-5048,1.36,0.928,-425.0,478.0,LiGaTe2,0.376,0.589
mp-561368,0.856,0.0646,-430.0,805.0,NaClO4,0.609,14.0
mp-770906,0.163,0.0622,-621.0,738.0,Li3Mn(BO3)2,7.3,25.6
mp-559020,0.452,0.173,-672.0,696.0,KBi(PO3)4,3.13,14.8
mp-765761,0.0107,0.00633,-459.0,-90.5,Li3Co3OF7,119.0,153.0
mp-6721,0.57,0.464,-647.0,622.0,Sr3LiRuO6,2.53,3.0
mp-25566,0.0763,0.518,-722.0,674.0,MnH2(SO4)2,20.9,63.9
mp-7921,0.245,0.4,-800.0,776.0,MgPdF6,8.21,4.56
mp-764248,0.011,0.011,-7.4,39.7,Li2VCr(P2O7)2,3.2,3.21
mp-759390,0.199,0.544,-674.0,593.0,Li3Bi2(PO4)3,9.64,3.06
mp-743771,0.0877,0.0224,-690.0,765.0,Ca8V7ZnBiO28,18.1,68.9
mp-868668,0.0202,0.000588,-672.0,694.0,Li3Ni2(PO3)7,149.0,45300.0
mp-19622,0.757,0.0915,-314.0,704.0,Ba3MnSb2O9,0.369,13.6
mp-867893,0.96,0.46,-522.0,656.0,SmI3,2.8,2.83
mp-772644,0.0902,0.146,-692.0,649.0,Li6Cr(BO3)3,97.0,278.0
mp-560608,0.438,0.619,-600.0,610.0,Nd10S14O,2.5,1.69
mp-28534,0.917,0.286,-420.0,552.0,CaInBr3,0.557,1.76
mp-696347,0.871,0.032,-418.0,810.0,NaH3SO5,0.565,29.6
mp-11738,0.948,0.0715,-420.0,739.0,Na3PS3O,0.737,9.55
mp-20310,1.05,0.186,-307.0,600.0,LiInSe2,0.257,1.56
mp-763155,1.28,1.2,-213.0,-210.0,Li4Co3Ni2Sb3O16,0.273,0.287
mp-669465,0.0404,0.0818,-692.0,705.0,Te2S4(NCl3)3,71.7,18.2
mp-558219,0.324,0.563,-706.0,656.0,SrLi(BS2)3,5.08,6.26
mp-32508,0.6,0.0116,-372.0,709.0,Li3V2P5O16,0.651,35.2
mp-28577,0.35,0.00826,-620.0,810.0,RbBrF4,3.11,165.0
mp-733877,0.846,0.0239,-421.0,742.0,CaB3H13O12,0.591,42.3
mp-555153,0.876,0.189,-441.0,723.0,Pb2SO5,0.767,3.34
mp-510535,0.884,0.0679,-423.0,732.0,CsB5O8,0.581,90.1
mp-765804,0.375,0.029,-655.0,835.0,Li6VF8,3.22,41.6
mp-505396,0.899,0.0109,-390.0,813.0,CsNa3PbO4,0.479,52.6
mp-540795,0.645,0.357,-618.0,612.0,Ba3SrTa2O9,1.68,15.3
mp-540686,0.345,0.277,-660.0,757.0,CsPr(SO4)2,19.5,426.0
mp-555082,0.86,0.0927,-423.0,771.0,CsLi5(BO3)2,0.599,32.9
mp-22935,0.445,0.236,-567.0,755.0,CsBrF,2.54,32.8
mp-16978,1.02,0.22,-381.0,563.0,Ba3MgSb2O9,0.401,1.93
mp-760676,0.919,0.0196,-395.0,653.0,LiCu2PO4,0.48,29.2
mp-556405,0.627,0.777,-500.0,498.0,LaCN2F,1.17,1.32
mp-510076,1.08,0.131,-399.0,754.0,Rb7Au5O2,0.492,1550.0
mp-550433,1.0,0.193,-361.0,655.0,BeZnO2,0.368,1.96
mp-9263,1.67,1.59,-543.0,495.0,KErTe2,0.569,1.13
mp-9770,1.12,0.0706,-290.0,636.0,Ag8GeS6,0.212,4.02
mp-770880,0.0682,0.114,-701.0,730.0,Li3Ni(BO3)2,29.6,26.3
mp-13042,0.855,0.268,-633.0,747.0,NaSr3TaO6,1.39,4.22
mp-541513,0.886,0.372,-516.0,625.0,NaGdTiO4,2020.0,311.0
mp-768875,0.797,0.0144,-449.0,770.0,Li6B4O9,0.717,63.1
mp-569224,0.638,0.487,-644.0,646.0,SbI3,7.84,3.01
mp-865136,0.158,0.0531,-633.0,733.0,Li2MnPO5,43.6,47.3
mp-4187,1.04,0.124,-348.0,674.0,Ge2N2O,0.331,4.22
mp-505814,1.17,0.2,-376.0,682.0,CsBa2Nb3O10,61400.0,901.0
mp-560884,0.193,0.0206,-719.0,738.0,TaSCl7O,7.59,100.0
mp-624214,1.08,0.173,-420.0,661.0,Cs3Bi2I9,1.27,2.88
mp-559476,0.471,0.177,-666.0,718.0,Dy(IO3)3,2.89,8.99
mp-556783,0.792,0.0587,-451.0,736.0,NaLiCO3,0.731,63.7
mp-770228,0.021,0.317,-761.0,713.0,Li2FePCO7,93.1,89.0
mp-11107,1.0,0.17,-334.0,737.0,Ac2O3,0.313,1.92
mp-754818,0.833,0.294,-424.0,723.0,NaTaO3,0.608,1.72
mp-570744,1.38,1.44,-412.0,591.0,Si3As4,0.348,0.332
mp-756933,1.01,0.319,-354.0,712.0,TaTlO3,0.35,1.1
mp-7017,1.31,2.45,-557.0,526.0,NaNbN2,0.77,5.23
mp-555846,0.89,0.039,-397.0,804.0,BaAlF5,0.5,37.3
mp-722714,0.0965,0.129,-757.0,758.0,MgCdH4(N2O5)2,17.4,63.2
mp-756745,0.0136,2.55,-889.0,467.0,BaLaI5,225.0,1.18
mp-756443,0.29,0.487,-748.0,739.0,Er2TiO5,37.7,3.44
mp-849982,0.535,0.208,-409.0,521.0,Ta2CrNO5,0.884,4.5
mp-566977,0.0608,0.12,-697.0,637.0,CsMn(PO3)4,100.0,107.0
mp-763413,1.03,0.217,-522.0,642.0,Li2U(WO5)2,276.0,6.74
mp-771931,0.241,0.0503,-686.0,745.0,V4CrCuO12,6.8,39.4
mp-1714,0.473,4.21,-744.0,389.0,FeSi2,3.99,0.374
mp-28712,0.815,0.8119999999999999,-560.0,629.0,Si2Hg6O7,1.34,3.98
mp-3187,0.0165,1.03,-951.0,687.0,BaCeO3,159.0,2.52
mp-764202,0.0483,0.0664,-818.0,832.0,Li2VOF5,181.0,65.0
mp-685352,0.415,0.0495,-406.0,748.0,Ca2NF,948.0,16900.0
mp-30982,0.739,0.624,-673.0,642.0,Ag2SO3,2.26,2.39
mp-21526,2.13,1.41,-440.0,347.0,KPb,0.256,0.389
mp-581361,0.00842,0.731,-860.0,577.0,Ba3La2C5O15F2,480.0,4070.0
mp-23904,0.896,0.126,-403.0,751.0,BaH4O3,0.512,29.2
mp-541709,0.0689,0.258,-769.0,613.0,Nb3Tl2Br9,25.2,14.9
mp-644271,0.863,0.416,-412.0,529.0,LiHS,0.583,1.68
mp-571519,1.18,0.543,-566.0,669.0,CdI2,10400.0,220.0
mp-567433,0.457,0.268,-533.0,651.0,BP(IBr)3,1.89,7.88
mp-29001,0.408,0.125,-683.0,741.0,NaLuCl4,8.84,10.5
mp-505747,1.31,0.962,-415.0,448.0,TlIn5S6,0.565,0.939
mp-541798,0.0263,0.135,-787.0,741.0,MnH4S2O9,8880.0,1640.0
mp-6050,0.435,0.881,-671.0,565.0,AgCSN,3.02,1.98
mp-27473,0.505,0.00583,-566.0,750.0,Sb2TeF14,2.05,3410.0
mp-697715,0.93,0.297,-526.0,635.0,H12AuC4N,0.852,2.85
mp-31373,0.86,0.0121,-421.0,823.0,H18SO12,0.582,739.0
mp-568785,0.00295,0.00499,-706.0,694.0,NaAl3NiCl12,1740.0,377.0
mp-753945,0.0646,0.0415,-793.0,826.0,ClOF3,32.6,55.2
mp-17433,0.925,0.129,-410.0,667.0,NaSr4(SbO4)3,0.515,4.0
mp-568656,1.45,0.401,-498.0,586.0,SiC,1.79,3.07
mp-3795,0.92,0.23,-404.0,746.0,NaZnF3,0.501,2.14
mp-555678,0.65,0.523,-760.0,777.0,Na4Ti5O12,12.3,3.9
mp-560653,0.891,0.0535,-411.0,731.0,RbNaLi6(SiO4)2,0.536,13.9
mp-18779,0.307,0.345,-741.0,673.0,Na2CrO4,5.57,4.74
mp-3248,0.929,0.126,-391.0,742.0,TbAsO4,0.467,3.9
mp-735022,1.01,0.0251,-410.0,739.0,SrPHO4,0.47,32.0
mp-626829,0.185,0.054,-674.0,775.0,ReH3O5,7.22,80.3
mp-31661,0.344,0.0963,-582.0,694.0,LiCr2P3O11,3.98,20.2
mp-19146,0.718,0.569,-535.0,596.0,CrPbO4,1.86,1.99
mp-775867,0.96,0.184,-544.0,665.0,LiSbPO5,3.93,9.67
mp-4961,0.912,0.161,-431.0,774.0,Na2HgO2,0.703,3.32
mp-704942,0.586,0.158,-600.0,703.0,Li2Cr(PO3)5,656.0,18200.0
mp-686571,0.878,0.0128,-410.0,736.0,Ca10P6ClO24F,0.541,41.1
mp-757131,0.662,0.0264,-484.0,786.0,Sn(PO3)4,1.02,35.0
mp-19260,0.28,0.482,-791.0,744.0,Li2WO4,24.8,4.0
mp-686572,0.507,1.27,-619.0,573.0,NaPr9Si6(SO12)2,3.34,2520.0
mp-768176,0.642,0.361,-633.0,735.0,TmTaO4,6.18,6.41
mp-3443,1.13,0.125,-279.0,789.0,Cd(GaO2)2,0.195,1.76
mp-15417,0.847,0.359,-498.0,618.0,K2GaP2,0.862,4.36
